millis,stamp,datetime,motion
1000, 1404171985, 2165/165/165 165:165:85, Inactive
1999, 1404171985, 2165/165/165 165:165:85, Inactive
2999, 1404171985, 2165/165/165 165:165:85, Inactive
3999, 1404171985, 2165/165/165 165:165:85, Inactive
5000, 1404171985, 2165/165/165 165:165:85, Inactive
5999, 1404171985, 2165/165/165 165:165:85, Inactive
7000, 1404171985, 2165/165/165 165:165:85, Inactive
7999, 1404171985, 2165/165/165 165:165:85, Inactive
8999, 1404171985, 2165/165/165 165:165:85, Inactive
9999, 1404171985, 2165/165/165 165:165:85, Inactive
10999, 1404171985, 2165/165/165 165:165:85, Active
11999, 1404171985, 2165/165/165 165:165:85, Active
12999, 1404171985, 2165/165/165 165:165:85, Active
13999, 1404171985, 2165/165/165 165:165:85, Active
14999, 1404171985, 2165/165/165 165:165:85, Active
16000, 1404171985, 2165/165/165 165:165:85, Active
16999, 1404171985, 2165/165/165 165:165:85, Active
17999, 1404171985, 2165/165/165 165:165:85, Active
18999, 1404171985, 2165/165/165 165:165:85, Active
19999, 1404171985, 2165/165/165 165:165:85, Active
21000, 1404171985, 2165/165/165 165:165:85, Active
21999, 1404171985, 2165/165/165 165:165:85, Active
23000, 1404171985, 2165/165/165 165:165:85, Active
23999, 1404171985, 2165/165/165 165:165:85, Inactive
24999, 1404171985, 2165/165/165 165:165:85, Inactive
25999, 1404171985, 2165/165/165 165:165:85, Inactive
26998, 1404171985, 2165/165/165 165:165:85, Inactive
27998, 1404171985, 2165/165/165 165:165:85, Inactive
28999, 1404171985, 2165/165/165 165:165:85, Inactive
29999, 1404171985, 2165/165/165 165:165:85, Inactive
30998, 1404171985, 2165/165/165 165:165:85, Inactive
31998, 1404171985, 2165/165/165 165:165:85, Inactive
32999, 1404171985, 2165/165/165 165:165:85, Inactive
33999, 1404171985, 2165/165/165 165:165:85, Inactive
34999, 1404171985, 2165/165/165 165:165:85, Inactive
35999, 1404171985, 2165/165/165 165:165:85, Inactive
37000, 1404171985, 2165/165/165 165:165:85, Active
37999, 1404171985, 2165/165/165 165:165:85, Active
38999, 1404171985, 2165/165/165 165:165:85, Active
39999, 1404171985, 2165/165/165 165:165:85, Active
40999, 1404171985, 2165/165/165 165:165:85, Active
41999, 1404171985, 2165/165/165 165:165:85, Active
42999, 1404171985, 2165/165/165 165:165:85, Active
44000, 1404171985, 2165/165/165 165:165:85, Active
44999, 1404171985, 2165/165/165 165:165:85, Active
45999, 1404171985, 2165/165/165 165:165:85, Active
46999, 1404171985, 2165/165/165 165:165:85, Active
48000, 1404171985, 2165/165/165 165:165:85, Active
48999, 1404171985, 2165/165/165 165:165:85, Active
49998, 1404171985, 2165/165/165 165:165:85, Active
50998, 1404171985, 2165/165/165 165:165:85, Active
51999, 1404171985, 2165/165/165 165:165:85, Inactive
52999, 1404171985, 2165/165/165 165:165:85, Inactive
53999, 1404171985, 2165/165/165 165:165:85, Inactive
55000, 1404171985, 2165/165/165 165:165:85, Inactive
55999, 1404171985, 2165/165/165 165:165:85, Inactive
56999, 1404171985, 2165/165/165 165:165:85, Inactive
57999, 1404171985, 2165/165/165 165:165:85, Inactive
58999, 1404171985, 2165/165/165 165:165:85, Inactive
59999, 1404171985, 2165/165/165 165:165:85, Inactive
60999, 1404171985, 2165/165/165 165:165:85, Inactive
61999, 1404171985, 2165/165/165 165:165:85, Inactive
62999, 1404171985, 2165/165/165 165:165:85, Inactive
64000, 1404171985, 2165/165/165 165:165:85, Inactive
64999, 1404171985, 2165/165/165 165:165:85, Inactive
65999, 1404171985, 2165/165/165 165:165:85, Inactive
66999, 1404171985, 2165/165/165 165:165:85, Inactive
67999, 1404171985, 2165/165/165 165:165:85, Inactive
68999, 1404171985, 2165/165/165 165:165:85, Inactive
69999, 1404171985, 2165/165/165 165:165:85, Inactive
71000, 1404171985, 2165/165/165 165:165:85, Inactive
71999, 1404171985, 2165/165/165 165:165:85, Inactive
72999, 1404171985, 2165/165/165 165:165:85, Inactive
73999, 1404171985, 2165/165/165 165:165:85, Inactive
74999, 1404171985, 2165/165/165 165:165:85, Inactive
75999, 1404171985, 2165/165/165 165:165:85, Inactive
76999, 1404171985, 2165/165/165 165:165:85, Inactive
77999, 1404171985, 2165/165/165 165:165:85, Inactive
78999, 1404171985, 2165/165/165 165:165:85, Inactive
80000, 1404171985, 2165/165/165 165:165:85, Active
80999, 1404171985, 2165/165/165 165:165:85, Active
81999, 1404171985, 2165/165/165 165:165:85, Active
82999, 1404171985, 2165/165/165 165:165:85, Active
83998, 1404171985, 2165/165/165 165:165:85, Active
84999, 1404171985, 2165/165/165 165:165:85, Active
86000, 1404171985, 2165/165/165 165:165:85, Active
87000, 1404171985, 2165/165/165 165:165:85, Active
87999, 1404171985, 2165/165/165 165:165:85, Active
88999, 1404171985, 2165/165/165 165:165:85, Active
89999, 1404171985, 2165/165/165 165:165:85, Active
90999, 1404171985, 2165/165/165 165:165:85, Active
91999, 1404171985, 2165/165/165 165:165:85, Active
92999, 1404171985, 2165/165/165 165:165:85, Active
94000, 1404171985, 2165/165/165 165:165:85, Active
94999, 1404171985, 2165/165/165 165:165:85, Active
96000, 1404171985, 2165/165/165 165:165:85, Active
96999, 1404171985, 2165/165/165 165:165:85, Active
97999, 1404171985, 2165/165/165 165:165:85, Active
98999, 1404171985, 2165/165/165 165:165:85, Active
99999, 1404171985, 2165/165/165 165:165:85, Active
101000, 1404171985, 2165/165/165 165:165:85, Inactive
101999, 1404171985, 2165/165/165 165:165:85, Inactive
103000, 1404171985, 2165/165/165 165:165:85, Inactive
103999, 1404171985, 2165/165/165 165:165:85, Inactive
104999, 1404171985, 2165/165/165 165:165:85, Inactive
105999, 1404171985, 2165/165/165 165:165:85, Inactive
106999, 1404171985, 2165/165/165 165:165:85, Inactive
107999, 1404171985, 2165/165/165 165:165:85, Inactive
108999, 1404171985, 2165/165/165 165:165:85, Inactive
109999, 1404171985, 2165/165/165 165:165:85, Inactive
110999, 1404171985, 2165/165/165 165:165:85, Inactive
112000, 1404171985, 2165/165/165 165:165:85, Inactive
112999, 1404171985, 2165/165/165 165:165:85, Active
113999, 1404171985, 2165/165/165 165:165:85, Active
114999, 1404171985, 2165/165/165 165:165:85, Active
115999, 1404171985, 2165/165/165 165:165:85, Active
116999, 1404171985, 2165/165/165 165:165:85, Active
117999, 1404171985, 2165/165/165 165:165:85, Active
119000, 1404171985, 2165/165/165 165:165:85, Active
119999, 1404171985, 2165/165/165 165:165:85, Active
120999, 1404171985, 2165/165/165 165:165:85, Active
121999, 1404171985, 2165/165/165 165:165:85, Active
122998, 1404171985, 2165/165/165 165:165:85, Active
123999, 1404171985, 2165/165/165 165:165:85, Active
124998, 1404171985, 2165/165/165 165:165:85, Active
126000, 1404171985, 2165/165/165 165:165:85, Active
126999, 1404171985, 2165/165/165 165:165:85, Active
128000, 1404171985, 2165/165/165 165:165:85, Active
128999, 1404171985, 2165/165/165 165:165:85, Active
129998, 1404171985, 2165/165/165 165:165:85, Inactive
130999, 1404171985, 2165/165/165 165:165:85, Inactive
